[2025-11-25T10:12:06.823Z] USER: user1@example.com | ACTION: LOGIN | DETAILS: Zalogowano użytkownika: Jan Kowalski
[2025-11-25T10:12:22.023Z] USER: user1@example.com | ACTION: LOGOUT | DETAILS: Wylogowano użytkownika: Jan Kowalski
[2025-11-25T10:12:41.568Z] USER: admin@example.com | ACTION: LOGIN | DETAILS: Zalogowano użytkownika: Admin Root
[2025-11-25T10:12:46.012Z] USER: admin@example.com | ACTION: LOGOUT | DETAILS: Wylogowano użytkownika: Admin Root
[2025-11-25T10:12:57.652Z] USER: admin@example.com | ACTION: LOGIN | DETAILS: Zalogowano użytkownika: Admin Root
[2025-11-25T10:13:06.407Z] USER: admin@example.com | ACTION: UPDATE_TRIP | DETAILS: Zaktualizowano wycieczkę z ID 1
[2025-11-25T10:13:17.506Z] USER: admin@example.com | ACTION: DELETE_TRIP | DETAILS: Usunięto wycieczkę z ID 2
[2025-11-25T10:13:28.351Z] USER: admin@example.com | ACTION: BOOK_TRIP | DETAILS: Użytkownik z ID 1 zarezerwował wycieczkę z ID 3
[2025-11-25T10:14:04.699Z] USER: admin@example.com | ACTION: ADD_TRIP | DETAILS: Dodano wycieczkę z ID 68
[2025-11-25T10:14:26.039Z] USER: admin@example.com | ACTION: UPDATE_COUNTRY | DETAILS: Zaktualizowano kraj z ID 1
[2025-11-25T10:14:35.312Z] USER: admin@example.com | ACTION: DELETE_COUNTRY | DETAILS: Usunięto kraj z ID 2
[2025-11-25T10:15:15.926Z] USER: admin@example.com | ACTION: ADD_COUNTRY | DETAILS: Dodano kraj z ID 142
[2025-11-25T10:15:43.780Z] USER: admin@example.com | ACTION: UPDATE_CONTINENT | DETAILS: Zaktualizowano kontynent z ID 1
[2025-11-25T10:15:57.888Z] USER: admin@example.com | ACTION: ADD_CONTINENT | DETAILS: Dodano kontynent z ID 8
[2025-11-25T10:16:04.018Z] USER: admin@example.com | ACTION: DELETE_CONTINENT | DETAILS: Usunięto kontynent z ID 8
